HI,SK,KUR,DSK,DKUR,Surface
0.381427421,0.420521752,2.20040343,0.17898428,1.446450866,Mars_high_crater
0.639210809,0.183328651,1.893068575,-0.717333224,1.846452099,Mars_high_crater
0.330803652,0.513321788,2.2238433,0.588343564,1.817549518,Mars_high_crater
0.573674549,0.26329965,1.919355108,-0.416798664,1.518824118,Mars_high_crater
0.3227666,0.650045834,2.407886567,0.683217972,2.106559592,Mars_high_crater
0.455345189,0.286654968,1.893901099,0.212415841,1.293799746,Mars_high_crater
0.265121367,0.414712384,2.027707797,0.813322649,1.971164316,Mars_high_crater
0.529478053,0.4331695,2.194276013,-0.194465395,1.641587955,Mars_high_crater
0.423663659,0.56155001,2.325807975,0.398322005,1.806244975,Mars_high_crater
0.586351296,0.351719443,2.099196422,-0.511388214,1.888392941,Mars_high_crater
0.469394625,0.362667013,1.963883189,0.145577079,1.331383484,Mars_high_crater
0.348025005,0.543917168,2.357082379,0.57756984,1.875407966,Mars_high_crater
0.378412144,0.777028727,3.082506676,0.206254656,2.184826601,Mars_high_crater
0.583671242,0.240806121,1.903305686,-0.548154158,1.613131267,Mars_high_crater
0.343632177,0.473868874,2.110948019,0.614503619,1.776082069,Mars_high_crater
0.372355094,0.37011305,2.020172241,0.616883799,1.736106474,Mars_high_crater
0.38031568,0.201039699,1.850908271,0.279214581,1.230448453,Mars_high_crater
0.493993716,0.35250172,1.996151968,0.142422747,1.403087784,Mars_high_crater
0.548066595,0.270972924,1.940253343,-0.2817582,1.433269598,Mars_high_crater
0.487799426,0.456394128,2.170798131,-0.105037054,1.549613107,Mars_high_crater
0.608612833,0.174990502,1.800375432,-0.391005782,1.324110745,Mars_high_crater
0.520143018,0.247511227,1.82467206,0.099550762,1.221829027,Mars_high_crater
0.560989814,0.300927895,1.973550877,-0.473198435,1.636376411,Mars_high_crater
0.341099804,0.545260058,2.375114526,0.44493174,1.723022006,Mars_high_crater
0.493415577,0.276526292,1.938323853,-0.051539184,1.283055209,Mars_high_crater
0.392216516,0.390067476,2.107979545,0.202794969,1.386984371,Mars_high_crater
0.446818124,0.51192182,2.117072279,0.36343845,1.695452108,Mars_high_crater
0.466407857,0.208796966,1.838050539,0.095294985,1.167935351,Mars_high_crater
0.58271255,0.107175837,1.811557939,-0.507628634,1.38356649,Mars_high_crater
0.451339721,0.490929412,2.095370445,0.479370231,1.681715947,Mars_high_crater
0.48133237,0.37208133,1.934651478,0.226894489,1.381216425,Mars_high_crater
0.674097129,0.179191054,1.883661439,-1.014182469,2.472617535,Mars_high_crater
0.420601197,0.315144511,1.945563441,0.32802253,1.397766369,Mars_high_crater
0.576415228,0.3246723,2.067722346,-0.512226192,1.839568185,Mars_high_crater
0.662338275,0.138863175,1.840876304,-0.868412881,2.016392501,Mars_high_crater
0.531420215,0.380256481,2.141588551,-0.349696592,1.726221855,Mars_high_crater
0.591751163,0.335797093,1.975562258,-0.279316828,1.581238628,Mars_high_crater
0.562661851,0.379420825,2.134133909,-0.384084602,1.763867687,Mars_high_crater
0.408689684,0.435574623,2.087704676,0.373829228,1.511974588,Mars_high_crater
0.488584572,0.262827096,1.901791735,-0.12390163,1.280241023,Mars_high_crater
0.459262265,0.264282551,1.884382831,0.232081077,1.273855449,Mars_high_crater
0.360797872,0.453951969,2.072142919,0.533690685,1.623954602,Mars_high_crater
0.34128103,0.299762179,1.931584113,0.590547978,1.593090069,Mars_high_crater
0.228432192,0.762256804,2.884128154,0.985867965,2.688387097,Mars_high_crater
0.341273232,0.186513745,1.846901245,0.490135335,1.357895003,Mars_high_crater
0.355809035,0.76929651,2.500010308,0.950703833,2.572634818,Mars_high_crater
0.362488061,0.390048253,2.112785292,0.252103817,1.408713064,Mars_high_crater
0.288021532,0.372227278,2.069387831,0.863424329,2.052808268,Mars_high_crater
0.417585913,0.488740124,2.214253723,0.297408999,1.593559277,Mars_high_crater
0.312803779,0.399167529,2.103453051,0.428370315,1.515795369,Mars_high_crater
0.389807787,0.418777565,2.008809324,0.44663441,1.540598287,Mars_high_crater
0.384933526,0.465258015,2.129468914,0.396650589,1.565360671,Mars_high_crater
